,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
B0,,,,,,,,,,L0,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,B0
B0,P0,,,,,,,,,,,,,,,,,B0
B0,,,,,,,C0,,,,,,,,,,,B0
B0,,,,,,,B0,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,K0,,,,,B0
B0,,,,S0,,,,,,L0,,,B0,,,D0,,B0
B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
