,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
B0,,,,,,,,,,,,,,,L0,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,,,,B0
B0,P0,,,,,,,,,,,,,,L0,,,,,,D0,B0
B0,,,,,,,,,K0,,,,B0,B0,B0,B0,,,,B0,B0,B0
B0,,,,,,,,,B0,B0,,,,,,,,,,B0,B0,B0
B0,,,,,,,B0,B0,B0,B0,,,,,,,,B0,B0,B0,B0,B0
B0,,,C0,,B0,B0,B0,B0,B0,B0,W0,W0,W0,W0,W0,B0,B0,B0,B0,B0,B0,B0
B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
