# ステージごとのカメラ設定
# stage,posX,posY,posZ,rotX,rotY,rotZ,scrollX,scrollOffsetX,scrollMinX,scrollMaxX,scrollY,scrollOffsetY,scrollMinY,scrollMaxY
# rotX/Y/Zは角度(度)。scrollX/scrollYは1でその軸のスクロールあり、0でなし。
# scrollOffsetX/Yは自機に対するカメラのずれ。Min >= Max なら範囲制限なし。
# スクロールを有効にした軸では、posX/posYの値は使われない。
1,6.6,4,-9.5,0,0,0,0,0,0,0,0,0,0,0
2,8.1,5,-11.5,0,0,0,0,0,0,0,0,0,0,0
3,9,5,-12.5,0,0,0,0,0,9,89,0,0,0,0
4,7,4,-10,0,0,0,0,0,0,0,0,0,0,0
5,11,6,-15,0,0,0,0,0,0,0,0,0,0,0
6,10,12.5,-13.5,0,0,0,0,0,0,0,0,0,0,0
7,9,6,-15,0,0,0,0,0,0,0,0,3.9,0,0
8,17.5,7.5,-25,0,0,0,0,0,0,0,0,0,0,0
9,17,9.5,-24.1,0,0,0,0,0,0,0,0,0,0,0
11,16.9,9.5,-24,0,0,0,0,0,0,0,0,0,0,0
