B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L0,,,B0
B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,P0,,,,,,,,,,,,,,,,,,,,,,,C0,,L0,K0,,B0
B0,,,,,B0,B0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,B0,B0,B0,B0,B0,B0
B0,,,,B0,,,,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,,,,,,,B0
B0,,,B0,,,,,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,,,,,,,B0
B0,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0
B0,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0
B0,,,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,B0,,,S0,B0
B0,D0,,,B0,,,,,,,,,,,,,,,,,,,,,,,,,B0,B0,W0,W0,B0,B0
B0,B0,B0,,,,,,,,,,,,,,,,,,,,,,,,,,B0,B0,B0,W0,W0,B0,B0
B0,B0,B0,B0,B0,B0,B0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,B0,B0,W0,W0,B0,B0
B0,B0,B0,B0,B0,B0,B0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,W0,W0,W0,B0,B0,B0,B0,W0,W0,B0,B0
B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0,B0
